Parameter Sets,Stats,CV Ratio,Normal CV,Stress CV,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy,IY006B Transformer Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 33.25255156635966, 'rho': 49.927337236032685, 'd': 0.6966183912920326, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.551564885496184, 'Stressed Variance': 62.47489831449217, 'Stressed Steady State Time': 14.35506171672096}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.53,0.32,0.1696,1.0,0.55,0.9875,0.5,0.725,0.45,0.5,1.0,0.525,0.75,1.0
"[{'sigma_u': 18.0, 'sigma_b': 33.25255156635966, 'rho': 49.927337236032685, 'd': 0.6966183912920326, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.551564885496184, 'Stressed Variance': 62.47489831449217, 'Stressed Steady State Time': 14.35506171672096}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.53,0.32,0.1696,1.0,0.55,0.9875,0.5,0.725,0.45,0.5,1.0,0.525,0.75,1.0
"[{'sigma_u': 18.0, 'sigma_b': 33.25255156635966, 'rho': 49.927337236032685, 'd': 0.6966183912920326, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.551564885496184, 'Stressed Variance': 62.47489831449217, 'Stressed Steady State Time': 14.35506171672096}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.53,0.32,0.1696,1.0,0.55,0.9875,0.5,0.725,0.45,0.5,1.0,0.525,0.75,1.0
"[{'sigma_u': 18.0, 'sigma_b': 33.25255156635966, 'rho': 49.927337236032685, 'd': 0.6966183912920326, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.551564885496184, 'Stressed Variance': 62.47489831449217, 'Stressed Steady State Time': 14.35506171672096}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.53,0.32,0.1696,1.0,0.55,0.9875,0.5,0.725,0.45,0.5,1.0,0.525,0.75,1.0
"[{'sigma_u': 18.0, 'sigma_b': 30.520905547405803, 'rho': 51.541015451868525, 'd': 0.697217910807073, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.48931297709924, 'Stressed Variance': 65.50362624555679, 'Stressed Steady State Time': 14.34271817318115}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.54,0.32,0.1728,1.0,0.45,0.9875,0.4875,0.7125,0.45,0.975,1.0,0.525,0.7375,1.0
"[{'sigma_u': 18.0, 'sigma_b': 30.520905547405803, 'rho': 51.541015451868525, 'd': 0.697217910807073, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.48931297709924, 'Stressed Variance': 65.50362624555679, 'Stressed Steady State Time': 14.34271817318115}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.54,0.32,0.1728,1.0,0.45,0.9875,0.4875,0.7125,0.45,0.975,1.0,0.525,0.7375,1.0
"[{'sigma_u': 18.0, 'sigma_b': 30.520905547405803, 'rho': 51.541015451868525, 'd': 0.697217910807073, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.48931297709924, 'Stressed Variance': 65.50362624555679, 'Stressed Steady State Time': 14.34271817318115}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.54,0.32,0.1728,1.0,0.45,0.9875,0.4875,0.7125,0.45,0.975,1.0,0.525,0.7375,1.0
"[{'sigma_u': 18.0, 'sigma_b': 30.520905547405803, 'rho': 51.541015451868525, 'd': 0.697217910807073, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.48931297709924, 'Stressed Variance': 65.50362624555679, 'Stressed Steady State Time': 14.34271817318115}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.54,0.32,0.1728,1.0,0.45,0.9875,0.4875,0.7125,0.45,0.975,1.0,0.525,0.7375,1.0
"[{'sigma_u': 18.0, 'sigma_b': 30.520905547405803, 'rho': 51.541015451868525, 'd': 0.697217910807073, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.48931297709924, 'Stressed Variance': 65.50362624555679, 'Stressed Steady State Time': 14.34271817318115}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.54,0.32,0.1728,1.0,0.45,0.9875,0.4875,0.7125,0.45,0.975,1.0,0.525,0.7375,1.0
"[{'sigma_u': 18.0, 'sigma_b': 30.520905547405803, 'rho': 51.541015451868525, 'd': 0.697217910807073, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.48931297709924, 'Stressed Variance': 65.50362624555679, 'Stressed Steady State Time': 14.34271817318115}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.54,0.32,0.1728,1.0,0.45,0.9875,0.4875,0.7125,0.45,0.975,1.0,0.525,0.7375,1.0
"[{'sigma_u': 18.0, 'sigma_b': 30.520905547405803, 'rho': 51.541015451868525, 'd': 0.697217910807073, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.48931297709924, 'Stressed Variance': 65.50362624555679, 'Stressed Steady State Time': 14.34271817318115}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.54,0.32,0.1728,1.0,0.45,0.9875,0.4875,0.7125,0.45,0.975,1.0,0.525,0.7375,1.0
"[{'sigma_u': 18.0, 'sigma_b': 30.520905547405803, 'rho': 51.541015451868525, 'd': 0.697217910807073, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.48931297709924, 'Stressed Variance': 65.50362624555679, 'Stressed Steady State Time': 14.34271817318115}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.54,0.32,0.1728,1.0,0.45,0.9875,0.4875,0.7125,0.45,0.975,1.0,0.525,0.7375,1.0
"[{'sigma_u': 18.0, 'sigma_b': 30.520905547405803, 'rho': 51.541015451868525, 'd': 0.697217910807073, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.48931297709924, 'Stressed Variance': 65.50362624555679, 'Stressed Steady State Time': 14.34271817318115}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.54,0.32,0.1728,1.0,0.45,0.9875,0.4875,0.7125,0.45,0.975,1.0,0.525,0.7375,1.0
"[{'sigma_u': 18.0, 'sigma_b': 30.520905547405803, 'rho': 51.541015451868525, 'd': 0.697217910807073, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.48931297709924, 'Stressed Variance': 65.50362624555679, 'Stressed Steady State Time': 14.34271817318115}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.54,0.32,0.1728,1.0,0.45,0.9875,0.4875,0.7125,0.45,0.975,1.0,0.525,0.7375,1.0
"[{'sigma_u': 18.0, 'sigma_b': 28.250138209158656, 'rho': 53.12375561367811, 'd': 0.697819914480911, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.469503816793896, 'Stressed Variance': 68.3265508988404, 'Stressed Steady State Time': 14.330344824622445}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.55,0.32,0.176,1.0,0.5875,0.9625,0.6125,0.75,0.45,0.5,1.0,0.5125,0.925,1.0
"[{'sigma_u': 18.0, 'sigma_b': 28.250138209158656, 'rho': 53.12375561367811, 'd': 0.697819914480911, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.469503816793896, 'Stressed Variance': 68.3265508988404, 'Stressed Steady State Time': 14.330344824622445}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.55,0.32,0.176,1.0,0.5875,0.9625,0.6125,0.75,0.45,0.5,1.0,0.5125,0.925,1.0
"[{'sigma_u': 18.0, 'sigma_b': 28.250138209158656, 'rho': 53.12375561367811, 'd': 0.697819914480911, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.469503816793896, 'Stressed Variance': 68.3265508988404, 'Stressed Steady State Time': 14.330344824622445}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.55,0.32,0.176,1.0,0.5875,0.9625,0.6125,0.75,0.45,0.5,1.0,0.5125,0.925,1.0
"[{'sigma_u': 18.0, 'sigma_b': 28.250138209158656, 'rho': 53.12375561367811, 'd': 0.697819914480911, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.469503816793896, 'Stressed Variance': 68.3265508988404, 'Stressed Steady State Time': 14.330344824622445}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.55,0.32,0.176,1.0,0.5875,0.9625,0.6125,0.75,0.45,0.5,1.0,0.5125,0.925,1.0
"[{'sigma_u': 18.0, 'sigma_b': 28.250138209158656, 'rho': 53.12375561367811, 'd': 0.697819914480911, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.469503816793896, 'Stressed Variance': 68.3265508988404, 'Stressed Steady State Time': 14.330344824622445}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.55,0.32,0.176,1.0,0.5875,0.9625,0.6125,0.75,0.45,0.5,1.0,0.5125,0.925,1.0
"[{'sigma_u': 18.0, 'sigma_b': 28.250138209158656, 'rho': 53.12375561367811, 'd': 0.697819914480911, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.469503816793896, 'Stressed Variance': 68.3265508988404, 'Stressed Steady State Time': 14.330344824622445}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.55,0.32,0.176,1.0,0.5875,0.9625,0.6125,0.75,0.45,0.5,1.0,0.5125,0.925,1.0
"[{'sigma_u': 18.0, 'sigma_b': 28.250138209158656, 'rho': 53.12375561367811, 'd': 0.697819914480911, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.469503816793896, 'Stressed Variance': 68.3265508988404, 'Stressed Steady State Time': 14.330344824622445}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.55,0.32,0.176,1.0,0.5875,0.9625,0.6125,0.75,0.45,0.5,1.0,0.5125,0.925,1.0
"[{'sigma_u': 18.0, 'sigma_b': 28.250138209158656, 'rho': 53.12375561367811, 'd': 0.697819914480911, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.469503816793896, 'Stressed Variance': 68.3265508988404, 'Stressed Steady State Time': 14.330344824622445}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.55,0.32,0.176,1.0,0.5875,0.9625,0.6125,0.75,0.45,0.5,1.0,0.5125,0.925,1.0
"[{'sigma_u': 18.0, 'sigma_b': 28.250138209158656, 'rho': 53.12375561367811, 'd': 0.697819914480911, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.469503816793896, 'Stressed Variance': 68.3265508988404, 'Stressed Steady State Time': 14.330344824622445}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.55,0.32,0.176,1.0,0.5875,0.9625,0.6125,0.75,0.45,0.5,1.0,0.5125,0.925,1.0
"[{'sigma_u': 18.0, 'sigma_b': 28.250138209158656, 'rho': 53.12375561367811, 'd': 0.697819914480911, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.469503816793896, 'Stressed Variance': 68.3265508988404, 'Stressed Steady State Time': 14.330344824622445}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.55,0.32,0.176,1.0,0.5875,0.9625,0.6125,0.75,0.45,0.5,1.0,0.5125,0.925,1.0
"[{'sigma_u': 18.0, 'sigma_b': 26.32422679720487, 'rho': 54.683463784897725, 'd': 0.6984213689076669, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.59690839694657, 'Stressed Variance': 70.7196927320669, 'Stressed Steady State Time': 14.318004066284555}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.56,0.32,0.1792,1.0,0.5,1.0,0.4625,0.7125,0.45,0.5,1.0,0.4875,0.725,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 26.32422679720487, 'rho': 54.683463784897725, 'd': 0.6984213689076669, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.59690839694657, 'Stressed Variance': 70.7196927320669, 'Stressed Steady State Time': 14.318004066284555}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.56,0.32,0.1792,1.0,0.5,1.0,0.4625,0.7125,0.45,0.5,1.0,0.4875,0.725,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 26.32422679720487, 'rho': 54.683463784897725, 'd': 0.6984213689076669, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.59690839694657, 'Stressed Variance': 70.7196927320669, 'Stressed Steady State Time': 14.318004066284555}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.56,0.32,0.1792,1.0,0.5,1.0,0.4625,0.7125,0.45,0.5,1.0,0.4875,0.725,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 26.32422679720487, 'rho': 54.683463784897725, 'd': 0.6984213689076669, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.59690839694657, 'Stressed Variance': 70.7196927320669, 'Stressed Steady State Time': 14.318004066284555}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.56,0.32,0.1792,1.0,0.5,1.0,0.4625,0.7125,0.45,0.5,1.0,0.4875,0.725,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 26.32422679720487, 'rho': 54.683463784897725, 'd': 0.6984213689076669, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.59690839694657, 'Stressed Variance': 70.7196927320669, 'Stressed Steady State Time': 14.318004066284555}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.56,0.32,0.1792,1.0,0.5,1.0,0.4625,0.7125,0.45,0.5,1.0,0.4875,0.725,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 26.32422679720487, 'rho': 54.683463784897725, 'd': 0.6984213689076669, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.59690839694657, 'Stressed Variance': 70.7196927320669, 'Stressed Steady State Time': 14.318004066284555}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.56,0.32,0.1792,1.0,0.5,1.0,0.4625,0.7125,0.45,0.5,1.0,0.4875,0.725,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 26.32422679720487, 'rho': 54.683463784897725, 'd': 0.6984213689076669, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.59690839694657, 'Stressed Variance': 70.7196927320669, 'Stressed Steady State Time': 14.318004066284555}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.56,0.32,0.1792,1.0,0.5,1.0,0.4625,0.7125,0.45,0.5,1.0,0.4875,0.725,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 26.32422679720487, 'rho': 54.683463784897725, 'd': 0.6984213689076669, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.59690839694657, 'Stressed Variance': 70.7196927320669, 'Stressed Steady State Time': 14.318004066284555}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.56,0.32,0.1792,1.0,0.5,1.0,0.4625,0.7125,0.45,0.5,1.0,0.4875,0.725,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 26.32422679720487, 'rho': 54.683463784897725, 'd': 0.6984213689076669, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.59690839694657, 'Stressed Variance': 70.7196927320669, 'Stressed Steady State Time': 14.318004066284555}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.56,0.32,0.1792,1.0,0.5,1.0,0.4625,0.7125,0.45,0.5,1.0,0.4875,0.725,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 26.32422679720487, 'rho': 54.683463784897725, 'd': 0.6984213689076669, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.59690839694657, 'Stressed Variance': 70.7196927320669, 'Stressed Steady State Time': 14.318004066284555}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.56,0.32,0.1792,1.0,0.5,1.0,0.4625,0.7125,0.45,0.5,1.0,0.4875,0.725,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 24.664356967803453, 'rho': 56.22609560228504, 'd': 0.6990199436853253, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.60572519083969, 'Stressed Variance': 74.09889851989978, 'Stressed Steady State Time': 14.305743477473163}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.5700000000000001,0.32,0.1824,1.0,0.5875,0.9625,0.6,0.75,0.45,0.7375,1.0,0.4625,0.75,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 24.664356967803453, 'rho': 56.22609560228504, 'd': 0.6990199436853253, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.60572519083969, 'Stressed Variance': 74.09889851989978, 'Stressed Steady State Time': 14.305743477473163}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.5700000000000001,0.32,0.1824,1.0,0.5875,0.9625,0.6,0.75,0.45,0.7375,1.0,0.4625,0.75,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 24.664356967803453, 'rho': 56.22609560228504, 'd': 0.6990199436853253, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.60572519083969, 'Stressed Variance': 74.09889851989978, 'Stressed Steady State Time': 14.305743477473163}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.5700000000000001,0.32,0.1824,1.0,0.5875,0.9625,0.6,0.75,0.45,0.7375,1.0,0.4625,0.75,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 24.664356967803453, 'rho': 56.22609560228504, 'd': 0.6990199436853253, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.60572519083969, 'Stressed Variance': 74.09889851989978, 'Stressed Steady State Time': 14.305743477473163}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.5700000000000001,0.32,0.1824,1.0,0.5875,0.9625,0.6,0.75,0.45,0.7375,1.0,0.4625,0.75,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 24.664356967803453, 'rho': 56.22609560228504, 'd': 0.6990199436853253, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.60572519083969, 'Stressed Variance': 74.09889851989978, 'Stressed Steady State Time': 14.305743477473163}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.5700000000000001,0.32,0.1824,1.0,0.5875,0.9625,0.6,0.75,0.45,0.7375,1.0,0.4625,0.75,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 24.664356967803453, 'rho': 56.22609560228504, 'd': 0.6990199436853253, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.60572519083969, 'Stressed Variance': 74.09889851989978, 'Stressed Steady State Time': 14.305743477473163}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.5700000000000001,0.32,0.1824,1.0,0.5875,0.9625,0.6,0.75,0.45,0.7375,1.0,0.4625,0.75,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 24.664356967803453, 'rho': 56.22609560228504, 'd': 0.6990199436853253, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.60572519083969, 'Stressed Variance': 74.09889851989978, 'Stressed Steady State Time': 14.305743477473163}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.5700000000000001,0.32,0.1824,1.0,0.5875,0.9625,0.6,0.75,0.45,0.7375,1.0,0.4625,0.75,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 24.664356967803453, 'rho': 56.22609560228504, 'd': 0.6990199436853253, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.60572519083969, 'Stressed Variance': 74.09889851989978, 'Stressed Steady State Time': 14.305743477473163}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.5700000000000001,0.32,0.1824,1.0,0.5875,0.9625,0.6,0.75,0.45,0.7375,1.0,0.4625,0.75,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 24.664356967803453, 'rho': 56.22609560228504, 'd': 0.6990199436853253, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.60572519083969, 'Stressed Variance': 74.09889851989978, 'Stressed Steady State Time': 14.305743477473163}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.5700000000000001,0.32,0.1824,1.0,0.5875,0.9625,0.6,0.75,0.45,0.7375,1.0,0.4625,0.75,0.9625
